Serial Port,Voltage (V),Average X,Average Y,Average Z
COM19,0.19325746938654167,-63.89,13.09,8.88
COM20,0.19325746938654167,-18.05,-33.85,-11.24
COM21,0.19325746938654167,-50.69,41.86,-90.81
COM16,0.2481693855770955,-34.35,11.59,-103.76
COM18,0.2481693855770955,-27.28,29.88,-32.37
COM19,0.2481693855770955,1.44,9.15,25.38
COM20,0.2481693855770955,40.67,-34.69,5.41
COM21,0.2481693855770955,1.22,39.0,-85.85
COM16,0.1425501616252189,-38.69,6.74,-87.16
COM18,0.1425501616252189,-15.11,27.24,-38.22
COM19,0.1425501616252189,-62.71,12.11,-8.19
COM20,0.1425501616252189,-18.35,-34.09,-27.12
COM21,0.1425501616252189,-48.29,41.45,-82.47
COM16,0.2570565321720374,-34.12,12.71,-104.74
COM18,0.2570565321720374,-27.1,29.84,-31.6
COM19,0.2570565321720374,1.43,9.32,28.28
COM20,0.2570565321720374,40.91,-34.57,7.75
COM21,0.2570565321720374,0.54,39.1,-86.84
COM16,0.1860030668816733,-38.54,33.72,-87.91
COM18,0.1860030668816733,-17.95,18.12,-48.34
COM19,0.1860030668816733,-61.99,56.91,4.37
COM20,0.1860030668816733,-21.03,10.21,-14.0
COM21,0.1860030668816733,-60.0,53.45,-84.73
COM16,0.10831414888390199,-35.38,-1.4,-84.02
COM18,0.10831414888390199,-31.32,25.89,-44.03
COM19,0.10831414888390199,3.57,5.86,-18.88
COM20,0.10831414888390199,39.4,-35.39,-38.03
COM21,0.10831414888390199,7.15,39.11,-62.93
COM16,0.259960879220187,-37.74,17.73,-103.06
COM18,0.259960879220187,-11.31,30.04,-28.73
COM19,0.259960879220187,-64.97,14.42,28.74
COM20,0.259960879220187,-17.19,-33.17,9.24
COM21,0.259960879220187,-53.89,42.05,-100.92
COM16,0.15019078480423037,-35.55,28.35,-83.13
COM18,0.15019078480423037,-34.54,16.8,-54.02
COM19,0.15019078480423037,5.06,50.75,-7.73
COM20,0.15019078480423037,37.13,8.53,-26.76
